url,city,family_edition,value,you_save,discount_pct,num_sold,sold_out,started_at,weekday_start,duration,category,likes
http://livingsocial.com/deals/30029-five-bucket-card-or-season-range-membership,Boston,0,50,25,50,23,0,4/12/2011,Tue,2,Entertainment,0
https://livingsocial.com/deals/34644-new-hampshire-inn-+-spa,Boston,0,310,211,68,531,0,4/13/2011,Wed,7,Getaway,85
http://livingsocial.com/deals/36205-30-to-spend-on-seasonal-cuisine,Boston,0,30,15,50,113,0,4/13/2011,Wed,1,Restaurant,2
http://livingsocial.com/deals/35522-50-or-100-to-spend-on-red-sox-memorabilia,Boston,0,50,25,50,122,0,4/13/2011,Wed,2,Retail,25
http://livingsocial.com/deals/36910-30-to-spend-on-cookies,Boston,0,30,15,50,117,0,4/14/2011,Thu,2,Specialty Food,4
https://livingsocial.com/deals/26343-whitewater-rafting-trip-lunch-and-camping,Boston,0,145,75,52,1299,0,4/14/2011,Thu,1,Entertainment,93
http://livingsocial.com/deals/34061-four-two-hour-beginner-spanish-classes,Boston,0,195,100,51,149,0,4/15/2011,Fri,3,Services,6
http://livingsocial.com/deals/28315-auto-detailing-package,Boston,0,180,90,50,103,0,4/15/2011,Fri,3,Services,2
https://livingsocial.com/deals/32127-three-trx-suspension-training-classes,Boston,0,60,41,68,390,0,4/18/2011,Mon,1,Health,6
http://livingsocial.com/deals/28817-50-to-spend-on-salon-and-spa-services,Boston,0,50,25,50,74,0,4/18/2011,Mon,1,Beauty,4
http://livingsocial.com/deals/29652-unlimited-self-defense-or-fitness-classes,Boston,1,139,114,82,25,0,4/18/2011,Mon,7,Health,4
https://livingsocial.com/deals/33493-walking-tour-of-boston-or-family-membership,Boston,0,24,14,58,849,0,4/19/2011,Tue,1,Entertainment,19
http://livingsocial.com/deals/36830-20-to-spend-on-pizza-and-burgers,Boston,0,20,10,50,271,0,4/19/2011,Tue,2,Restaurant,8
http://livingsocial.com/deals/30245-150-to-spend-on-out-of-pocket-dental-expenses,Boston,0,150,100,67,7,0,4/20/2011,Wed,1,Health,0
http://livingsocial.com/deals/37078-historic-vermont-inn,Boston,0,631,381,60,448,0,4/20/2011,Wed,7,Escapes,42
http://livingsocial.com/deals/39296-40-to-spend-on-seafood,Boston,0,40,20,50,249,0,4/21/2011,Thu,2,Restaurant,14
http://escapes.livingsocial.com/deals/35815-red-dog-spa-experience,Boston,0,95,56,59,217,0,4/21/2011,Thu,1,Services,21
http://livingsocial.com/deals/37389-hour-long-swedish-or-hot-stone-massa,Boston,0,80,40,50,83,0,4/22/2011,Fri,3,Beauty,7
http://livingsocial.com/deals/39988-personalized-canvas-print,Boston,0,56,28,50,2629,0,4/22/2011,Fri,3,Retail,44
http://livingsocial.com/deals/27829-60-to-spend-on-lingerie,Boston,0,60,30,50,73,0,4/25/2011,Mon,1,Retail,1
http://escapes.livingsocial.com/deals/34486-three-open-jump-sessions,Boston,1,32,17,53,123,0,4/25/2011,Mon,7,Entertainment,4
https://livingsocial.com/deals/39127-admission-for-two-15-or-four-30,Boston,0,30,15,50,2613,0,4/25/2011,Mon,1,Entertainment,45
